Add4bits/A	Add4bits/B	Add4bits/C_in	Add4bits/C_out	Add4bits/D	sysclk	clk	
clk:clk:1:Hz
1000	0001	1	0	1010	1	1	
1000	0001	1	0	1010	0	0	
1000	0001	1	0	1010	1	0	
1000	0001	1	0	1010	0	0	
1000	0001	1	0	1010	1	0	
1001	0001	0	0	1010	0	1	
1001	0001	0	0	1010	1	1	
1001	0001	0	0	1010	0	1	
1001	0001	0	0	1010	1	1	
1001	0001	0	0	1010	0	0	
1001	0001	0	0	1010	1	0	
1001	0001	0	0	1010	0	0	
1001	0001	0	0	1010	1	0	
1001	0001	1	0	1011	0	1	
1001	0001	1	0	1011	1	1	
1001	0001	1	0	1011	0	1	
1001	0001	1	0	1011	1	1	
1001	0001	1	0	1011	0	0	
1001	0001	1	0	1011	1	0	
1001	0001	1	0	1011	0	0	
1001	0001	1	0	1011	1	0	
1010	0001	0	0	1011	0	1	
1010	0001	0	0	1011	1	1	
1010	0001	0	0	1011	0	1	
1010	0001	0	0	1011	1	1	
1010	0001	0	0	1011	0	0	
1010	0001	0	0	1011	1	0	
1010	0001	0	0	1011	0	0	
1010	0001	0	0	1011	1	0	
1010	0001	1	0	1100	0	1	
1010	0001	1	0	1100	1	1	
1010	0001	1	0	1100	0	1	
1010	0001	1	0	1100	1	1	
1010	0001	1	0	1100	0	0	
1010	0001	1	0	1100	1	0	
1010	0001	1	0	1100	0	0	
1010	0001	1	0	1100	1	0	
1011	0001	0	0	1100	0	1	
1011	0001	0	0	1100	1	1	
1011	0001	0	0	1100	0	1	
1011	0001	0	0	1100	1	1	
1011	0001	0	0	1100	0	0	
1011	0001	0	0	1100	1	0	
1011	0001	0	0	1100	0	0	
1011	0001	0	0	1100	1	0	
1011	0001	1	0	1101	0	1	
1011	0001	1	0	1101	1	1	
1011	0001	1	0	1101	0	1	
1011	0001	1	0	1101	1	1	
1011	0001	1	0	1101	0	0	
1011	0001	1	0	1101	1	0	
1011	0001	1	0	1101	0	0	
1011	0001	1	0	1101	1	0	
1100	0001	0	0	1101	0	1	
1100	0001	0	0	1101	1	1	
1100	0001	0	0	1101	0	1	
1100	0001	0	0	1101	1	1	
1100	0001	0	0	1101	0	0	
1100	0001	0	0	1101	1	0	
1100	0001	0	0	1101	0	0	
1100	0001	0	0	1101	1	0	
1100	0001	1	0	1110	0	1	
1100	0001	1	0	1110	1	1	
1100	0001	1	0	1110	0	1	
1100	0001	1	0	1110	1	1	
1100	0001	1	0	1110	0	0	
1100	0001	1	0	1110	1	0	
1100	0001	1	0	1110	0	0	
1100	0001	1	0	1110	1	0	
